Season,HomeTeam,AwayTeam,RegularLongestWStreak,RegularLongestLStreak,RegularEndingWStreak,RegularTotalPlayed,RegularSeasonPercentageWon,RegularSeasonHomePercentageWon,RegularSeasonAwayPercentageWon,RegularSeasonFGPercentMean,RegularSeasonFG3PercentMean,RegularSeasonTOMean,RegularSeasonStlMean,LastOrdinalRank,TournamentSeed,PlayedBefore,Winner
2021,Houston,Rutgers,H,A,H,A,H,H,H,A,H,A,H,A,A,N,H
2021,Loyola-Chicago,Illinois,H,A,A,A,H,H,A,H,A,A,H,H,H,N,H
2021,Florida,Oral Roberts,A,A,A,A,H,H,H,H,A,H,H,A,A,N,A
2021,Oklahoma St,Oregon St,H,A,A,A,H,H,H,H,A,H,H,A,A,N,A
2021,West Virginia,Syracuse,H,A,A,H,H,A,H,A,H,H,A,A,A,N,A
2021,North Texas,Villanova,A,H,H,H,A,A,A,H,H,H,H,H,H,N,A
2021,Alabama,Maryland,H,A,H,H,H,H,H,A,A,H,H,A,A,N,H
2021,Ohio,Creighton,A,H,H,A,A,A,A,H,H,H,A,H,H,N,A
2021,Florida St,Colorado,A,A,A,A,A,H,A,H,H,H,H,A,A,N,H
2021,Oklahoma,Gonzaga,A,H,A,A,A,A,A,A,A,A,A,H,H,N,A
2021,Michigan,LSU,H,A,A,A,H,H,H,H,H,A,A,A,A,N,H
2021,Iowa,Oregon,A,A,A,H,A,H,A,A,H,A,A,A,A,N,A
2021,UCLA,Abilene Chr,A,H,A,H,A,A,A,H,A,A,A,A,A,N,H
2021,Kansas,USC,A,H,H,A,A,H,A,A,A,A,H,A,A,N,A
2021,Arkansas,Oral Roberts,H,A,A,H,H,H,H,H,A,H,H,A,A,H,H
2021,Villanova,Baylor,A,H,A,A,A,A,A,A,A,A,A,H,H,N,A
2021,Houston,Syracuse,H,A,H,H,H,H,H,A,H,A,A,A,A,N,H
2021,Oregon St,Loyola-Chicago,A,H,A,H,A,A,A,A,A,A,A,H,H,N,H
2021,Gonzaga,Creighton,H,A,H,A,H,H,H,H,A,H,H,A,A,N,H
2021,Florida St,Michigan,A,A,A,A,A,A,A,A,H,H,H,H,H,N,A
2021,UCLA,Alabama,A,H,A,A,A,A,A,H,H,A,A,H,H,N,H
2021,USC,Oregon,A,A,A,H,A,H,A,A,A,H,A,A,A,H,H
2021,Arkansas,Baylor,A,H,A,H,A,A,A,A,A,H,A,H,H,N,A
2021,Oregon St,Houston,A,H,A,H,A,A,A,A,A,H,A,H,H,N,A
2021,USC,Gonzaga,A,H,A,H,A,A,A,A,A,H,A,H,H,N,A
2021,UCLA,Michigan,A,H,A,H,A,A,A,A,A,H,H,H,H,N,H
2021,Baylor,Houston,H,A,A,A,H,A,H,H,H,H,H,A,A,N,H
2021,Gonzaga,UCLA,H,A,H,A,H,H,H,H,A,H,H,A,A,N,H
2021,Baylor,Gonzaga,A,H,A,A,A,A,A,A,H,H,H,H,A,N,H
